TYPE, GROUP, CATEGORY, COUNT, PREFIX, POSTFIX
MultipleChoiceRadio, ЗАКРЫТЫЕ_ВОПРОСЫ, 1, 5, ,
MultipleChoiceRadio, ЗАКРЫТЫЕ_ВОПРОСЫ, 2, 17, ,
MultipleChoiceCheckbox, ЗАКРЫТЫЕ_ВОПРОСЫ, 2, 10, [markdown]_Выберите **два или более** правильных ответа_,
MultipleChoiceRadio, ЗАКРЫТЫЕ_ВОПРОСЫ, 3, 3, [markdown]_Выберите **один** правильный ответ_,
Matching, ВОПРОСЫ_НА_СООТВЕТСТВИЕ, 1, 2, ,
Matching, ВОПРОСЫ_НА_СООТВЕТСТВИЕ, 2, 7, ,
Matching, ВОПРОСЫ_НА_СООТВЕТСТВИЕ, 3, 1, ,
Short, ОТКРЫТЫЕ_ВОПРОСЫ, 1, 7, ,
Short, ОТКРЫТЫЕ_ВОПРОСЫ, 2, 24, ,
Short, ОТКРЫТЫЕ_ВОПРОСЫ, 3, 4, ,
Essay, ЭССЕ, 1, 5, ,