TYPE| GROUP| CATEGORY| COUNT| PREFIX| POSTFIX| CATEGORY_PREFIX
MultipleChoiceRadio| ЗАКРЫТЫЕ_ВОПРОСЫ| 1| 5| | | **Задания закрытого типа**<br>**Задания альтернативного выбора**<br><br>_Выберите **один** правильный ответ_
MultipleChoiceRadio| ЗАКРЫТЫЕ_ВОПРОСЫ| 2| 17| | |
MultipleChoiceCheckbox| ЗАКРЫТЫЕ_ВОПРОСЫ| 2| 10| _Выберите **два или более** правильных ответа_| |
MultipleChoiceRadio| ЗАКРЫТЫЕ_ВОПРОСЫ| 3| 3| _Выберите **один** правильный ответ_| |
Matching| ВОПРОСЫ_НА_СООТВЕТСТВИЕ| 1| 2| | | **Задания на установление соответствия**<br><br>_Установите соответствие между левым и правым столбцами._
Matching| ВОПРОСЫ_НА_СООТВЕТСТВИЕ| 2| 7| | |
Matching| ВОПРОСЫ_НА_СООТВЕТСТВИЕ| 3| 1| | |
Short| ОТКРЫТЫЕ_ВОПРОСЫ| 1| 7| | | **Задания открытого типа**<br>**Задания на дополнение**<br><br>_Напишите пропущенное слово._
Short| ОТКРЫТЫЕ_ВОПРОСЫ| 2| 24| | |
Short| ОТКРЫТЫЕ_ВОПРОСЫ| 3| 4| | |
Short| ЭССЕ | 1| 1| | | **Задания свободного изложения**<br>_Напишите развернутый ответ в свободной форме, изложив основные положения, факты, применив важнейшие понятия и сделав обобщение по теме задания._
Short| ЭССЕ | 2| 3| | |
Short| ЭССЕ | 3| 1| | |